Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Region,Hotel_Size_Category,Hotel_Type
CHAAYA WILD YALA,"P.O. BOX. 01, KIRINDA, TISSAMAHARAMA",61,4,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.405281,6.259168,Southern,Small,Other
CHAAYA TRANZ HOTEL,"P.O. BOX. 01, GALLE ROAD, HIKKADUWA.",150,4,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.100753,6.131353,Southern,Medium,Other
HOTEL NELLY,"NO. 84, 02ND CROSS STREET, VAUNIYA",20,1,Vavuniya,Vavuniya,Vavuniya,80.499954,8.751378,Northern,Small,Budget
THE KINGSBURY,"NO 48, JANADHIPATHI MAWATHA, COLOMBO 01",229,5,Colombo,Colombo,Colombo Divisional Secretariat,79.84247,6.933232,Western,Medium,Other
THE GRAND KANDYAN,"89/10,LADY GORDONS DRIVE, KANDY",100,5,Kandy,Kandy,Kandy Divisional Secretariat,80.634571,7.3024019,Central,Medium,Other
CINNAMON RED COLOMBO,"NO:59, ANANDA COOMARASWAMY MAWATHA, COLOMBO 03.",243,3,Colombo,Colombo,Colombo Divisional Secretariat,79.8530983,6.912114,Western,Medium,Mid-range
SHANGRI-LA S HAMBANTOTA RESORT & SPA,"SITTRAKALA WATTA, CHITHRAGALA, AMBALANTOTA",300,5,Hambantota,Ambalantota Pradeshiya Sabha,Ambalantota Divisional Secretariat,81.0638697,6.1120643,Southern,Medium,Other
MIRAGE HOTEL,"NO: 61, MOORS ROAD, MARINE DRIVE, WELLAWATTE, COLOMBO 06",60,2,Colombo,Colombo,Colombo Divisional Secretariat,79.8565303,6.8705488,Western,Small,Budget
THE OCEAN COLOMBO,"NO-40, MELBOURNE AVENUE, COLOMBO 04.",49,1,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.8530075,6.8853104,Western,Small,Budget
EARLS REGENT HOTEL,"NO. 1/40, DEVENIRAJASINGHE ROAD, PERADENIYA,KANDY",60,3,Kandy,Kandy,Kandy Divisional Secretariat,80.610734,7.283476,Central,Small,Other
FAIRVIEW HOTEL,"NO:27, RAMKRISHNA ROAD, WELLAWATTE, COLOMBO 06",50,2,Colombo,Colombo,Colombo Divisional Secretariat,79.861298,6.865486,Western,Small,Budget
RIU HOTEL,"GALLE ROAD, AHUNGALLE",501,5,Galle,Galle,Galle Divisional Secretariat,80.0310513,6.30957,Southern,Large,Luxury
ANANTAYA RESORT & SPA,"COCOUNT BOARD ROAD,PASSEKUDAH,KALKUDAH",51,5,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.5499112,7.9315158,Eastern,Small,Other
ANANTARA PEACE HEAVEN RESORT,"GOYAMBOKKA ESTATE,TANGALLE",152,5,Hambantota,Hambantota,Hambantota Divisional Secretariat,80.783869,6.012477,Southern,Medium,Other
TANGERINE BEACH HOTEL,"DR ABREW ROAD,WASKADUWA,KALUTHARA",179,3,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9472113,6.608101,Western,Medium,Mid-range
BEST WESTERN ELYON COLOMBO,"102A, KIRULAPONE AVENUE, BASELINE ROAD, COLOMBO 05.",52,2,Colombo,Colombo,Colombo Divisional Secretariat,79.8740663,6.883736,Western,Small,Budget
CINNAMON BEY,"MORAGOLLA BEACH,BERUWALA",200,4,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9768792,6.4522247,Western,Medium,Other
